"runner75" "obervation_id" "loanlink" "opening_balance" "avg_transaction" "minority_dummy" "above_insurance" "ln_accountage" "age" "stock" "social_runners" "ward_runners" "education" "avg_deposit_chng" "avg_withdraw_chng" "education_dummy1" "education_dummy2" "wealth"
"49" 0 9731 0 2.38619995117188 4 0 0 7.6838641166687 4 0 0 0.0314136110246181 3 0.000321714003803208 0 0 1 0.00792156904935837
"50" 0 3042 0 50.3600006103516 0 1 0 7.42654895782471 3 0 0 0.0313192009925842 3 0 0 0 1 0.00792156904935837
"51" 0 16841 1 22.0400009155273 4 0 0 7.8663387298584 4 1 0 0.0181818176060915 3 0.000460270995972678 0 0 1 0.00792156904935837
"52" 1 13863 0 132.227310180664 13 0 0 7.6838641166687 4 0 0 0.022624434903264 2 0.000359786004992202 0 1 0 0.00792156904935837
"53" 0 9728 0 7.71260023117065 4 0 0 7.6838641166687 4 0 0 0.0319634713232517 2 0.000321642990456894 0 1 0 0.00792156904935837
"54" 0 1703 0 0.600000023841858 0 0 0 8.16876983642578 3 0 0 0.0428571440279484 2 0 0 1 0 0.00792156904935837
"55" 0 18071 0 6.21999979019165 4 0 0 7.31188631057739 4 0 0 0.0313192009925842 2 0.0124689843505621 0 1 0 0.00792156904935837
"56" 0 13317 0 175.803497314453 4 1 0 7.6838641166687 4 0 0 0.0245283022522926 3 0.000357985991286114 0 0 1 0.00792156904935837
"57" 0 17723 0 7.42000007629395 8 0 0 7.47079372406006 3 0 0 0.0313192009925842 2 0.003599613904953 0 1 0 0.00792156904935837
"58" 0 15501 0 7.61549997329712 4 1 0 7.6838641166687 4 1 0 0.0555555559694767 3 0.000371600006474182 0 0 1 0.00792156904935837
"59" 1 16875 0 298.381805419922 8 1 0 7.8508825302124 4 0 0 0.032992035150528 3 0.000469928985694423 0.0136101571843028 0 1 0.00792156904935837
"60" 1 11258 0 58.6877975463867 34 1 0 7.6838641166687 NA 0 0 0.0313192009925842 2 0.000351299997419119 0.0217492431402206 1 0 0.00792156904935837
"61" 1 10583 0 524.7705078125 50 0 0 7.6838641166687 4 0 0 0.032992035150528 2 0.000345128995832056 0.0300368573516607 1 0 0.00792156904935837
"62" 0 15741 0 1.23000001907349 4 1 0 7.6838641166687 3 1 0 0.0313192009925842 2 0.000375000003259629 0 1 0 0.00792156904935837
"63" 0 15549 0 0.899999976158142 3 1 0 7.6838641166687 3 1 0 0.032992035150528 1 0.000372270995285362 0 0 0 0.00792156904935837
"64" 0 12253 0 15.2788000106812 4 0 0 7.6838641166687 4 0 0 0.0314685329794884 2 0.000355700001819059 0 1 0 0.00792156904935837
"65" 0 14580 0 15.034499168396 5 0 0 7.6838641166687 4 0 0 0 3 0.000363200000720099 0 0 1 0.00792156904935837
"66" 0 18612 0 5.51000022888184 7 0 0 6.97914505004883 4 0 0 0.0313192009925842 3 0.0719244256615639 0 0 1 0.00792156904935837
"67" 0 17169 0 2.17000007629395 4 0 0 7.71244382858276 4 0 0 0.0314685329794884 2 0.000724886020179838 0 1 0 0.00792156904935837
"68" 0 19198 0 224.421508789062 4 0 0 6.28413438796997 4 0 0 0.0358422957360744 2 0.382783114910126 0 1 0 0.00792156904935837
"69" 0 18584 0 2.0689001083374 7 1 0 6.98841333389282 4 0 0.101351350545883 0.0313192009925842 2 0.0654529258608818 0 1 0 0.00792156904935837
"70" 0 437 0 6 0 0 0 8.95969676971436 4 0 0 0.0227272734045982 3 0 0 0 1 0.00792156904935837
"71" 1 10242 0 0 5 1 1 7.6838641166687 4 0 0 0.0313192009925842 3 0.000339129008352757 0 0 1 0.00792156904935837
"72" 1 14478 0 63.3235015869141 13 0 0 7.6838641166687 4 0 0 0.0571428574621677 3 0.000362785998731852 0 0 1 0.00792156904935837
"73" 1 19057 0 2.22000002861023 4 0 0 6.56103086471558 4 0 1 0.032992035150528 2 0.264796316623688 0 1 0 0.00792156904935837
"74" 1 16679 0 62.5800018310547 9 1 0 7.91644287109375 4 0 0 0.032992035150528 3 0.000427313992986456 0 0 1 0.00792156904935837
"75" 0 19651 0 3 1 0 0 2.39789533615112 4 0 0 0.070175439119339 2 0 0 1 0 0.00792156904935837
"76" 0 3427 0 12.7440004348755 1 0 0 7.07072401046753 4 0 0 0.0314136110246181 3 0.000213014005566947 0 0 1 0.00792156904935837
"77" 0 11228 0 50.6289978027344 24 0 0 7.6838641166687 3 0 0 0.0127041740342975 3 0.000351171009242535 0 0 1 0.00792156904935837
"78" 1 17511 0 233.494613647461 10 1 0 7.55381107330322 4 0 0 0.0313192009925842 2 0.00174278602935374 0 1 0 0.00792156904935837
"79" 0 18519 0 2.88000011444092 4 0 0 7.02019071578979 4 0 0 0.0313192009925842 3 0.0541839562356472 0 0 1 0.00792156904935837
"80" 0 957 0 11.8100004196167 0 0 0 8.61468315124512 4 0 0 0 2 0 0 1 0 0.00792156904935837
