"runner75" "runner50" "runner25" "runner75_extended" "minority_dummy" "above_insurance" "opening_balance" "avg_transaction" "max_accountage" "ward_runners" "social_runners" "loanlink" "avg_deposit_chng" "avg_withdraw_chng" "uninsured_rel" "uninsured_no_rel" "travel_costs" "ward" "adress" "accountage" "ln_accountage" "loanlink_before" "loanlink_after" "loanlink_current"
"26" 0 0 0 0 0 0 8.85210037231445 0 7.6838641166687 NA 0 0 0 0 0 0 NA NA NA 2173 7.6838641166687 0 0 0
"27" 0 0 0 0 1 0 7.79250001907349 0 9.28544807434082 0.0313192009925842 0 0 0 0 0 0 2 6 10018974 10780 9.28544807434082 0 0 0
"28" 0 0 0 0 0 0 4.04160022735596 0 7.6838641166687 0.0314136110246181 0 0 0 0 0 0 4 38 10012755 2173 7.6838641166687 0 0 0
"29" 0 0 0 0 0 0 5.56699991226196 0 9.27509784698486 0.0358422957360744 0 0 0 0 0 0 4 39 10009641 10669 9.27509784698486 0 0 0
"30" 0 0 0 0 1 0 7.91239976882935 0 9.2727518081665 0.0313192009925842 0 0 0 0 0 0 2 6 10015486 10644 9.2727518081665 0 0 0
"31" 0 0 0 0 1 0 4.46000003814697 0 9.26700401306152 0.0313192009925842 0 0 0 0 0 0 2 6 10009477 10583 9.26700401306152 0 0 0
"32" 0 0 0 0 0 0 83.4975967407227 2 9.26577472686768 0.0127041740342975 0 0 0 0.0100781861692667 0 0 3 2 10003594 10570 9.26577472686768 0 0 0
"33" 0 0 0 0 0 0 1.24249994754791 0 7.6838641166687 NA 0 0 0 0 0 0 NA NA 10007624 2173 7.6838641166687 0 0 0
"34" 0 0 0 0 1 0 0.0195000004023314 0 7.6838641166687 0.0313192009925842 0 0 0 0 0 0 1 6 10013264 2173 7.6838641166687 0 0 0
"35" 0 0 0 0 0 0 0.0109000001102686 0 7.6838641166687 0.070175439119339 0 0 0 0 0 0 7 29 10000761 2173 7.6838641166687 0 0 0
"36" 0 0 0 0 1 0 8.76150035858154 0 9.25626945495605 0.0313192009925842 0 0 0 0 0 0 2 6 10004844 10470 9.25626945495605 0 0 0
