"minority_dummy" "above_insurance" "opening_balance" "ln_maturity" "loanlink" "travel_costs" "ln_accountage" "ward" "runner" "uninsured_no_rel" "uninsured_rel" "loanlink_before" "loanlink_current" "loanlink_after" "household_key" "accountage" "days_maturity"
"135" 0 0 0.0701575353741646 4.74493217468262 0 2 7.1762547492981 6 0 0 0 0 0 0 832 1308 114
"136" 1 0 0.0701575353741646 4.74493217468262 0 NA 7.1228666305542 NA 0 0 0 0 0 0 3025 1240 114
"137" 1 0 0.0703273937106133 5.85076475143433 0 7 7.15539646148682 10 0 0 0 0 0 0 23 1281 346.5
"138" 0 0 0.0705952048301697 5.84354448318481 0 7 7.17548990249634 23 0 0 0 0 0 0 1439 1307 344
"139" 1 0 0.0709636956453323 5.83188247680664 0 7 7.15851402282715 45 0 0 0 0 0 0 2812 1285 340
"140" 1 0 0.0711308270692825 5.82894563674927 0 3 7.18159198760986 6 0 0 0 0 0 0 NA 1315 339
"141" 0 0 0.07139041274786 4.00733327865601 0 6 7.15539646148682 7 0 0 0 0 0 0 160 1281 54
"142" 0 0 0.071398638188839 5.82156562805176 0 1 7.19818353652954 6 0 0 0 0 0 0 1306 1337 336.5
"143" 0 0 0.071398638188839 5.82156562805176 0 7 7.17930793762207 43 0 0 0 0 0 0 57 1312 336.5
"144" 1 0 0.0714931562542915 3.91202306747437 0 1 7.15539646148682 6 0 0 0 0 0 0 72543 1281 49
"145" 0 0 0.0718006864190102 5.80814266204834 0 7 7.1921820640564 9 0 0 0 0 0 0 2841 1329 332
"146" 0 0 0.0720890387892723 5.95583724975586 0 1 7.19293403625488 6 0 0 0 0 0 0 930 1330 385
"147" 0 0 0.0720890387892723 5.95583724975586 0 2 7.18992233276367 6 0 0 0 0 0 0 839 1326 385
"148" 0 0 0.0722123309969902 6.48463535308838 0 2 6.9865665435791 5 0 0 0 0 0 0 607 1082 654
"149" 1 0 0.0723972618579865 5.91620206832886 0 2 7.17778253555298 5 0 0 0 0 0 0 1769 1310 370
"150" 0 0 0.07333654910326 6.37161207199097 0 7 7.1884126663208 42 0 0 0 0 0 0 13567 1324 584
"151" 0 0 0.0833493173122406 5.3132061958313 0 7 7.18159198760986 76 0 0 0 0 0 0 2534 1315 202
"152" 0 0 0.0849744603037834 5.28320360183716 1 1 6.49072360992432 1 0 0 0 0 1 0 3016 659 196
"153" 0 0 0.0864911004900932 5.95324325561523 0 4 7.19067621231079 10 0 0 0 0 0 0 2414 1327 384
"154" 1 0 0.0879667103290558 0 0 4 5.95583724975586 39 0 0 0 0 0 0 3007 386 0
"155" 0 0 0.093906544148922 4.89784002304077 0 NA 7.45182228088379 NA 0 0 0 0 0 0 NA 1723 133
"156" 0 0 0.10030684620142 4.34380531311035 0 7 2.70805025100708 43 0 0 0 0 0 0 2730 15 76
"157" 1 0 0.100402735173702 6.57368040084839 0 1 2.70805025100708 6 0 0 0 0 0 0 1463 15 715
"158" 1 0 0.100632876157761 0 0 4 6.99850940704346 39 1 0 0 0 0 0 1972 1095 0
"159" 0 0 0.100882187485695 6.97260618209839 0 7 3.36729574203491 14 0 0 0 0 0 0 2230 29 1066
"160" 0 0 0.100976713001728 6.9697904586792 0 2 3.465735912323 1 0 0 0 0 0 0 563 32 1063
"161" 0 0 0.101150684058666 5.78382539749146 0 7 3.71357202529907 8 0 0 0 0 0 0 1335 41 324
